,dt,temperature,humidity
416,2023-05-25 19:04:44.850790+02:00,19.8,78.3
417,2023-05-25 19:05:44.882521+02:00,19.9,79.6
418,2023-05-25 19:06:44.931088+02:00,19.9,81.0
419,2023-05-25 19:07:44.943799+02:00,19.9,82.2
420,2023-05-25 19:08:45.014594+02:00,19.9,83.5
421,2023-05-25 19:09:45.052953+02:00,20.0,84.7
422,2023-05-25 19:10:44.960829+02:00,20.0,85.8
423,2023-05-25 19:11:45.089048+02:00,20.0,86.9
424,2023-05-25 19:12:45.165298+02:00,20.1,88.2
425,2023-05-25 19:13:45.301391+02:00,20.1,89.2
426,2023-05-25 19:14:45.313717+02:00,20.1,90.1
427,2023-05-25 19:15:45.340973+02:00,20.1,90.6
428,2023-05-25 19:16:45.341168+02:00,20.1,91.0
429,2023-05-25 19:17:45.292297+02:00,20.2,91.5
430,2023-05-25 19:18:45.449134+02:00,20.2,91.8
431,2023-05-25 19:19:45.617124+02:00,20.2,92.3
432,2023-05-25 19:20:45.551275+02:00,20.2,92.6
433,2023-05-25 19:21:45.721671+02:00,20.2,93.0
434,2023-05-25 19:22:45.560762+02:00,20.2,93.4
435,2023-05-25 19:23:45.646101+02:00,20.2,90.7
436,2023-05-25 19:24:45.621200+02:00,20.1,82.7
437,2023-05-25 19:25:45.684679+02:00,19.9,77.0
438,2023-05-25 19:26:45.787018+02:00,19.9,73.2
439,2023-05-25 19:27:45.912427+02:00,19.7,70.6
440,2023-05-25 19:28:45.838332+02:00,19.7,68.9
441,2023-05-25 19:29:45.882443+02:00,19.6,67.6
442,2023-05-25 19:30:45.923142+02:00,19.6,66.7
443,2023-05-25 19:31:45.979636+02:00,19.5,65.9
444,2023-05-25 19:32:46.138010+02:00,19.5,65.3
445,2023-05-25 19:33:46.153335+02:00,19.6,65.0
446,2023-05-25 19:34:46.203788+02:00,19.5,64.5
447,2023-05-25 19:35:46.248960+02:00,19.5,64.2
448,2023-05-25 19:36:46.231314+02:00,19.5,64.0
449,2023-05-25 19:37:46.287375+02:00,19.5,63.9
450,2023-05-25 19:38:46.342916+02:00,19.5,63.8
451,2023-05-25 19:39:46.507354+02:00,19.5,63.7
452,2023-05-25 19:40:46.487519+02:00,19.5,63.7
453,2023-05-25 19:41:46.608534+02:00,19.5,63.5
454,2023-05-25 19:42:46.611978+02:00,19.5,63.4
455,2023-05-25 19:43:46.591052+02:00,19.5,63.4
456,2023-05-25 19:44:46.754985+02:00,19.5,63.5
457,2023-05-25 19:45:46.752052+02:00,19.5,63.4
458,2023-05-25 19:46:46.825935+02:00,19.5,63.3
459,2023-05-25 19:47:46.771481+02:00,19.5,63.1
460,2023-05-25 19:48:46.824650+02:00,19.5,63.2
461,2023-05-25 19:49:47.017529+02:00,19.5,63.1
462,2023-05-25 19:50:46.998321+02:00,19.5,63.0
